Lista,GUA,NYT,GUA+NYT,Título Original,Título em Português (BR),País de Origem,Diretor,Onde Assistir (BR),Duração (min),,
"GUA, NYT",32,97,129,Gravity,Gravidade,EUA / Reino Unido,Alfonso Cuarón,Max,91,,
"GUA, NYT",95,37,132,Call Me by Your Name,Chama-me pelo Teu Nome,Itália / França / Brasil / EUA,Luca Guadagnino,—,132,,
"GUA, NYT",100,44,144,Once Upon a Time in Hollywood,Era Uma Vez em… Hollywood,EUA,Quentin Tarantino,Netflix,161,,
"GUA, NYT",78,71,149,Ocean's Eleven,Ocean's Eleven - Façam as Vossas Apostas,EUA,Steven Soderbergh,"Prime Video, Max",116,,
"GUA, NYT",70,85,155,Anchorman: The Legend of Ron Burgundy,Apresentador de Notícias,EUA,Adam McKay,—,94,,
"GUA, NYT",92,68,160,The Hurt Locker,Guerra ao Terror,EUA,Kathryn Bigelow,—,131,,
"GUA, NYT",81,91,172,Fish Tank,Aquário,Reino Unido,Andrea Arnold,—,123,,
"GUA, NYT",94,92,186,Gladiator,Gladiador,EUA / Reino Unido,Ridley Scott,"Prime Video, Telecine",155,,
NYT,999,1,1000,Parasite,Parasita,Coreia do Sul,Bong Joon-ho,"Netflix, Claro tv+",132,,
GUA,6,999,1005,Caché,Nada a Esconder,França / Áustria / Alemanha,Michael Haneke,Reserva Imovision,117,,
GUA,7,999,1006,"Synecdoche, New York","Sinédoque, Nova York",EUA,Charlie Kaufman,"MUBI, Looke, NetMovies",124,,
NYT,999,7,1006,Eternal Sunshine of the Spotless Mind,Brilho Eterno de Uma Mente Sem Lembranças,EUA,Michel Gondry,"Claro tv+, Max",108,,
GUA,9,999,1008,Zama,Zama,Argentina,Lucrecia Martel,—,115,,
GUA,10,999,1009,Team America: World Police,"América do Sul, Foda-se o Mundo",EUA,Trey Parker,—,98,,
NYT,999,11,1010,Mad Max: Fury Road,Mad Max: Estrada da Fúria,Austrália / EUA,George Miller,"Max, Telecine",120,,
GUA,12,999,1011,Son of Saul,O Filho de Saul,Hungria,László Nemes,—,107,,
NYT,999,12,1011,The Zone of Interest,A Zona de Interesse,Reino Unido / Polônia,Jonathan Glazer,"MUBI, Reserva Imovision",105,,
GUA,13,999,1012,Far From Heaven,Longe do Paraíso,EUA / França,Todd Haynes,—,107,,
NYT,999,13,1012,Children of Men,Filhos da Esperança,Reino Unido / EUA,Alfonso Cuarón,"Netflix, Claro tv+",109,,
GUA,14,999,1013,White Material,White Material,França / Camarões,Claire Denis,—,102,,
NYT,999,14,1013,Inglourious Basterds,Bastardos Inglórios,EUA / Alemanha,Quentin Tarantino,"Telecine, Claro tv+",153,,
GUA,15,999,1014,Shoplifters,Shoplifters: Uma Família de Pequenos Ladrões,Japão,Hirokazu Kore-eda,Globoplay,121,,
NYT,999,15,1014,City of God,Cidade de Deus,Brasil,Fernando Meirelles,"Netflix, Globoplay",130,,
GUA,17,999,1016,The Great Beauty,A Grande Beleza,Itália / França,Paolo Sorrentino,—,142,,
NYT,999,18,1017,Y Tu Mamá También,E Sua Mãe Também,México,Alfonso Cuarón,MUBI,106,,
GUA,19,999,1018,Lincoln,Lincoln,EUA,Steven Spielberg,—,150,,
NYT,999,19,1018,Zodiac,Zodíaco,EUA,David Fincher,Paramount+,157,,
GUA,21,999,1020,The White Ribbon,O Laço Branco,Áustria / Alemanha / França,Michael Haneke,Reserva Imovision,144,,
GUA,24,999,1023,Ida,Ida,Polônia / Dinamarca,Paweł Pawlikowski,—,82,,
NYT,999,24,1023,Her,Ela,EUA,Spike Jonze,Max,126,,
NYT,999,25,1024,Phantom Thread,Trama Fantasma,EUA / Reino Unido,Paul Thomas Anderson,"Paramount+, Telecine",130,,
NYT,999,26,1025,Anatomy of a Fall,Anatomia de Uma Queda,França,Justine Triet,"Prime Video, MUBI",151,,
NYT,999,27,1026,Adaptation,Adaptação,EUA,Spike Jonze,Max,114,,
GUA,29,999,1028,Nebraska,Nebraska,EUA,Alexander Payne,Sony One Amazon Channel,115,,
NYT,999,29,1028,Arrival,A Chegada,EUA,Denis Villeneuve,"Claro tv+, Paramount+",116,,
GUA,30,999,1029,Leviathan,Leviathan,Rússia,Andrey Zvyagintsev,—,140,,
GUA,31,999,1030,Anomalisa,Anomalisa,EUA,Charlie Kaufman / Duke Johnson,—,90,,
NYT,999,31,1030,The Departed,Infiltrado na Máfia,EUA,Martin Scorsese,Max,151,,
NYT,999,32,1031,Bridesmaids,Missão Madrinha de Casamento,EUA,Paul Feig,"Prime Video, Claro tv+",125,,
GUA,34,999,1033,L'Enfant (The Child),A Criança,Bélgica / França,Jean-Pierre e Luc Dardenne,—,95,,
NYT,999,34,1033,WALL-E,WALL-E,EUA,Andrew Stanton,Disney+,98,,
GUA,35,999,1034,45 Years,45 Anos,Reino Unido,Andrew Haigh,Reserva Imovision,95,,
GUA,37,999,1036,Dogville,Dogville,Dinamarca / Suécia / Noruega,Lars von Trier,MUBI,177,,
GUA,38,999,1037,Bir Zamanlar Anadolu'da,Era Uma Vez na Anatólia,Turquia,Nuri Bilge Ceylan,—,157,,
NYT,999,38,1037,Portrait of a Lady on Fire,Retrato de Uma Jovem em Chamas,França,Céline Sciamma,"MUBI, Globoplay",122,,
GUA,39,999,1038,Meek's Cutoff,O Desvio de Meek,EUA,Kelly Reichardt,—,104,,
NYT,999,39,1038,Lady Bird,Lady Bird: Na Hora de Voar,EUA,Greta Gerwig,"Prime Video, Claro tv+",94,,
GUA,40,999,1039,Unrelated,Sem Relação,Reino Unido,Joanna Hogg,—,100,,
GUA,41,999,1040,The Handmaiden,A Criada,Coreia do Sul,Park Chan-wook,FilmBox+,144,,
NYT,999,41,1040,Amélie,O Fabuloso Destino de Amélie Poulain,França / Alemanha,Jean-Pierre Jeunet,Claro tv+,122,,
GUA,42,999,1041,"4 Months, 3 Weeks and 2 Days","4 Meses, 3 Semanas e 2 Dias",Romênia,Cristian Mungiu,—,113,,
NYT,999,42,1041,The Master,O Mestre,EUA,Paul Thomas Anderson,Paramount+,137,,
NYT,999,43,1042,Oldboy,Oldboy,Coreia do Sul,Park Chan-wook,"Netflix, Claro tv+",120,,
GUA,45,999,1044,13th,A 13ª Emenda,EUA,Ava DuVernay,Netflix,100,,
NYT,999,45,1044,Moneyball,O Homem Que Mudou o Jogo,EUA,Bennett Miller,"Prime Video, Claro tv+",133,,
GUA,47,999,1046,Margaret,Margaret,EUA,Kenneth Lonergan,—,150,,
NYT,999,47,1046,Almost Famous,Quase Famosos,EUA,Cameron Crowe,"Prime Video, Paramount+",122,,
GUA,48,999,1047,The House of Mirth,A Casa da Alegria,Reino Unido / EUA,Terence Davies,—,140,,
NYT,999,48,1047,The Lives of Others,A Vida dos Outros,Alemanha,Florian Henckel von Donnersmarck,—,137,,
GUA,49,999,1048,24 Hour Party People,24 Horas na Festa,Reino Unido,Michael Winterbottom,—,117,,
NYT,999,50,1049,Up,Up: Altas Aventuras,EUA,Pete Docter,Disney+,96,,
GUA,52,999,1051,Amores Perros,Amor Cão,México,Alejandro González Iñárritu,MUBI,154,,
NYT,999,52,1051,The Favourite,A Favorita,Irlanda / Reino Unido,Yorgos Lanthimos,"Disney+, Claro tv+",119,,
GUA,53,999,1052,Fire at Sea,Fogo no Mar,Itália,Gianfranco Rosi,Reserva Imovision,114,,
NYT,999,54,1053,Pan's Labyrinth,O Labirinto do Fauno,Espanha / México,Guillermo del Toro,Max,118,,
GUA,55,999,1054,Russian Ark,A Arca Russa,Rússia / Alemanha,Alexander Sokurov,—,96,,
NYT,999,55,1054,Inception,A Origem,EUA / Reino Unido,Christopher Nolan,"Max, Netflix",148,,
GUA,56,999,1055,Behind the Candelabra,Por Trás do Candelabro,EUA,Steven Soderbergh,—,118,,
NYT,999,56,1055,Punch-Drunk Love,Embriagado de Amor,EUA,Paul Thomas Anderson,Paramount+,95,,
GUA,57,999,1056,Leave No Trace,Sem Deixar Rastros,EUA,Debra Granik,—,109,,
NYT,999,57,1056,Best in Show,Best in Show,EUA,Christopher Guest,—,90,,
GUA,58,999,1057,Wuthering Heights,O Morro dos Ventos Uivantes,Reino Unido,Andrea Arnold,—,129,,
NYT,999,58,1057,Uncut Gems,Joias Brutas,EUA,Benny & Josh Safdie,Netflix,135,,
GUA,59,999,1058,Gangs of Wasseypur,Gangues de Wasseypur,Índia,Anurag Kashyap,—,321,,
GUA,60,999,1059,Ted,Ted,EUA,Seth MacFarlane,"Prime Video, Globoplay",106,,
NYT,999,60,1059,Whiplash,Whiplash: Em Busca da Perfeição,EUA,Damien Chazelle,"Netflix, Claro tv+",107,,
GUA,61,999,1060,The Souvenir,The Souvenir,Reino Unido,Joanna Hogg,—,119,,
NYT,999,61,1060,Kill Bill: Vol. 1,Kill Bill: Volume 1,EUA,Quentin Tarantino,"Claro tv+, Prime Video",111,,
GUA,62,999,1061,Waiting for Happiness (Heremakono),Esperando a Felicidade,Mauritânia / França,Abderrahmane Sissako,—,95,,
NYT,999,62,1061,Memento,Amnésia,EUA,Christopher Nolan,Claro tv+,113,,
GUA,63,999,1062,We Need to Talk About Kevin,Temos de Falar Sobre Kevin,Reino Unido / EUA,Lynne Ramsay,"Prime Video, MUBI",112,,
NYT,999,63,1062,Little Miss Sunshine,Pequena Miss Sunshine,EUA,Jonathan Dayton & Valerie Faris,"Netflix, Claro tv+",101,,
GUA,64,999,1063,The Incredibles,The Incredibles - Os Super-Heróis,EUA,Brad Bird,Disney+,115,,
NYT,999,64,1063,Gone Girl,Garota Exemplar,EUA,David Fincher,"Max, Disney+",149,,
GUA,65,999,1064,Happy as Lazzaro,Feliz como Lázaro,Itália / França / Suíça / Alemanha,Alice Rohrwacher,Netflix,128,,
NYT,999,65,1064,Oppenheimer,Oppenheimer,EUA / Reino Unido,Christopher Nolan,"Claro tv+, Prime Video",180,,
NYT,999,66,1065,Spotlight,Spotlight: Segredo Revelado,EUA,Tom McCarthy,Netflix,128,,
GUA,67,999,1066,Dogtooth,Canino,Grécia,Yorgos Lanthimos,"MUBI, Reserva Imovision",96,,
NYT,999,67,1066,TÁR,Tár,EUA,Todd Field,"Prime Video, Claro tv+",158,,
GUA,68,999,1067,Mr. Turner,Sr. Turner,Reino Unido / França / Alemanha,Mike Leigh,—,150,,
GUA,69,999,1068,Paddington 2,Paddington 2,Reino Unido / França,Paul King,"MGM+, Universal+",103,,
NYT,999,70,1069,Let the Right One In,Deixa Ela Entrar,Suécia,Tomas Alfredson,—,114,,
GUA,71,999,1070,Capernaum,Cafarnaum,Líbano / França,Nadine Labaki,Sony One Amazon Channel,126,,
GUA,72,999,1071,Waltz with Bashir,A Valsa com Bashir,Israel / França / Alemanha,Ari Folman,—,90,,
NYT,999,72,1071,Carol,Carol,EUA / Reino Unido,Todd Haynes,"Prime Video, MUBI",118,,
GUA,73,999,1072,Love & Friendship,Amor e Amizade,Irlanda / Reino Unido / França,Whit Stillman,—,92,,
NYT,999,73,1072,Ratatouille,Ratatouille,EUA,Brad Bird,Disney+,111,,
NYT,999,74,1073,The Florida Project,O Projeto Florida,EUA,Sean Baker,Globoplay,111,,
GUA,75,999,1074,Philomena,Philomena,Reino Unido / França,Stephen Frears,—,98,,
NYT,999,75,1074,Amour,Amor,Áustria / França / Alemanha,Michael Haneke,"Claro tv+, MUBI",127,,
GUA,76,999,1075,Ten,Dez,Irã / França,Abbas Kiarostami,—,94,,
NYT,999,76,1075,"O Brother, Where Art Thou?","Irmão, Onde Estás?",EUA / Reino Unido / França,Joel & Ethan Coen,—,107,,
NYT,999,77,1076,Everything Everywhere All at Once,Tudo em Todo Lugar ao Mesmo Tempo,EUA,Daniel Kwan & Daniel Scheinert,Prime Video,139,,
NYT,999,78,1077,Aftersun,Aftersun,Reino Unido / EUA,Charlotte Wells,"MUBI, Claro tv+",101,,
GUA,79,999,1078,Persepolis,Persépolis,França / EUA,Marjane Satrapi / Vincent Paronnaud,—,96,,
GUA,80,999,1079,Requiem for a Dream,A Vida Não É um Sonho,EUA,Darren Aronofsky,Lionsgate+,102,,
NYT,999,81,1080,Black Swan,Cisne Negro,EUA,Darren Aronofsky,Disney+,108,,
GUA,82,999,1081,Stories We Tell,Histórias que Contamos,Canadá,Sarah Polley,—,108,,
GUA,83,999,1082,The Son's Room,O Quarto do Filho,Itália / França,Nanni Moretti,—,99,,
NYT,999,83,1082,Inside Llewyn Davis,A Balada de Llewyn Davis,EUA / França,Joel & Ethan Coen,MUBI,104,,
GUA,84,999,1083,Tropical Malady,Febre Tropical,Tailândia / França / Alemanha / Itália,Apichatpong Weerasethakul,—,118,,
NYT,999,84,1083,Melancholia,Melancolia,Dinamarca / Suécia / França / Alemanha,Lars von Trier,"MUBI, Claro tv+",136,,
GUA,85,999,1084,Burning,Burning,Coreia do Sul,Lee Chang-dong,—,148,,
NYT,999,86,1085,Past Lives,Vidas Passadas,EUA / Coreia do Sul,Celine Song,"MUBI, Paramount+",106,,
GUA,87,999,1086,The Wind That Shakes the Barley,O Vento que Sacode a Cevada,Irlanda / Reino Unido / Alemanha,Ken Loach,—,127,,
NYT,999,87,1086,The Lord of the Rings: The Fellowship of the Ring,O Senhor dos Anéis: A Sociedade do Anel,Nova Zelândia / EUA,Peter Jackson,Max,178,,
GUA,88,999,1087,Gomorrah,Gomorra,Itália,Matteo Garrone,—,137,,
NYT,999,88,1087,The Gleaners and I,Os Catadores e Eu,França,Agnès Varda,Reserva Imovision,82,,
GUA,89,999,1088,The Selfish Giant,O Gigante Egoísta,Reino Unido,Clio Barnard,—,91,,
NYT,999,89,1088,Interstellar,Interestelar,EUA / Reino Unido,Christopher Nolan,"Prime Video, Claro tv+",169,,
GUA,90,999,1089,Eden,Eden,França,Mia Hansen-Løve,Reserva Imovision,131,,
NYT,999,90,1089,Frances Ha,Frances Ha,EUA,Noah Baumbach,MUBI,86,,
GUA,91,999,1090,Être et Avoir,Ser e Ter,França,Nicolas Philibert,—,104,,
GUA,93,999,1092,"You, the Living","Você, o Ser Vivo",Suécia / França / Alemanha / Noruega / Dinamarca,Roy Andersson,—,95,,
NYT,999,93,1092,Michael Clayton,Michael Clayton,EUA,Tony Gilroy,Max,119,,
NYT,999,94,1093,Minority Report,Minority Report: A Nova Lei,EUA,Steven Spielberg,Claro tv+,145,,
NYT,999,95,1094,The Worst Person in the World,A Pior Pessoa do Mundo,Noruega / França / Suécia / Dinamarca,Joachim Trier,"MUBI, Claro tv+",128,,
GUA,96,999,1095,Private Life,Vida Privada,EUA,Tamara Jenkins,Netflix,123,,
NYT,999,96,1095,Black Panther,Pantera Negra,EUA,Ryan Coogler,Disney+,134,,
GUA,97,999,1096,Fahrenheit 9/11,Fahrenheit 11 de Setembro,EUA,Michael Moore,—,122,,
NYT,999,98,1097,Grizzly Man,Grizzly Man,EUA,Werner Herzog,—,100,,
GUA,99,999,1098,Bright Star,Brilho de Uma Paixão,Reino Unido / Austrália / França,Jane Campion,—,119,,
NYT,999,99,1098,Memories of Murder,Memórias de um Assassino,Coreia do Sul,Bong Joon-ho,Netflix,132,,
NYT,999,100,1099,Superbad,Superbad: É Hoje,EUA,Greg Mottola,—,113,,
